smoothing,accuracy,weighted F1
0.0,0.32383055611323025,0.3098032512984989
0.01,0.3155992772535635,0.29275590283759495
0.1,0.2965268018470187,0.26597532699143006
0.5,0.2815699658703072,0.24655243018840328
1.0,0.2860871310981731,0.25461019888932535
10.0,0.3434049387673158,0.34413286097831003
100.0,0.36829953824533224,0.4313861730967078
200.0,0.3575587231479623,0.4363998713013578
300.0,0.3423007428227264,0.42569005986443365
400.0,0.33125878337683196,0.4159562839352264
500.0,0.3199156795824132,0.40581783455764336
1000.0,0.28859666733587636,0.37788653085170665
